"시도별","동거기간별",2015,2016,2017,2018,2019,2020,2021,2022,2023
"전국","계",109153,107328,106032,108684,110831,106500,101673,93232,92394
"전국","0∼4년",24666,24597,23749,23209,23291,21093,19116,17339,16632
"전국","5∼9년",20796,20606,20471,20063,19983,18437,17340,16738,16769
"전국","10∼14년",14860,14663,14842,15540,15953,15433,14550,13786,14394
"전국","15∼19년",16205,14868,13846,13545,13158,11866,11280,11158,11737
"전국","20년이상",32626,32594,33124,36327,38446,39671,39387,34211,32862
"전국","20∼24년",13380,12826,12606,13089,13459,13035,11959,10285,10067
"전국","25∼29년",8815,8961,8938,9658,9983,10007,9559,8275,8001
"전국","30년이상",10431,10807,11580,13580,15004,16629,17869,15651,14794
"전국","미상",0,0,0,0,0,0,0,0,0
"서울특별시","계",18176,17777,17083,16940,16972,16282,14967,13174,12397
"서울특별시","0∼4년",3750,3760,3541,3323,3302,2858,2484,2222,2105
"서울특별시","5∼9년",3208,3147,3006,2787,2721,2522,2224,2133,2042
"서울특별시","10∼14년",2369,2287,2212,2243,2172,2121,1894,1683,1695
"서울특별시","15∼19년",2648,2389,2149,1930,1913,1705,1610,1489,1549
"서울특별시","20년이상",6201,6194,6175,6657,6864,7076,6755,5647,5006
"서울특별시","20∼24년",2349,2187,2126,2160,2130,1984,1742,1496,1369
"서울특별시","25∼29년",1671,1666,1657,1666,1716,1732,1527,1232,1119
"서울특별시","30년이상",2181,2341,2392,2831,3018,3360,3486,2919,2518
"서울특별시","미상",0,0,0,0,0,0,0,0,0
"부산광역시","계",6649,6859,6651,6678,6787,6497,6248,5523,5452
"부산광역시","0∼4년",1477,1496,1368,1405,1298,1150,1079,957,891
"부산광역시","5∼9년",1059,1168,1168,1086,1100,1108,1033,929,895
"부산광역시","10∼14년",808,884,845,893,904,843,807,728,816
"부산광역시","15∼19년",969,968,894,797,776,717,612,652,672
"부산광역시","20년이상",2336,2343,2376,2497,2709,2679,2717,2257,2178
"부산광역시","20∼24년",898,875,857,763,859,813,704,586,580
"부산광역시","25∼29년",599,594,602,660,644,643,621,509,505
"부산광역시","30년이상",839,874,917,1074,1206,1223,1392,1162,1093
"부산광역시","미상",0,0,0,0,0,0,0,0,0
"대구광역시","계",4497,4383,4380,4530,4655,4345,4111,3675,3931
"대구광역시","0∼4년",868,976,925,864,871,805,721,609,635
"대구광역시","5∼9년",735,730,760,777,793,644,609,598,651
"대구광역시","10∼14년",567,569,600,600,606,602,553,511,576
"대구광역시","15∼19년",784,673,597,587,586,438,456,437,506
"대구광역시","20년이상",1543,1435,1498,1702,1799,1856,1772,1520,1563
"대구광역시","20∼24년",613,557,584,619,633,621,570,435,451
"대구광역시","25∼29년",428,415,395,444,462,450,441,388,381
"대구광역시","30년이상",502,463,519,639,704,785,761,697,731
"대구광역시","미상",0,0,0,0,0,0,0,0,0
"인천광역시","계",7116,7097,6988,7011,7176,6931,6740,6045,6243
"인천광역시","0∼4년",1515,1568,1603,1506,1472,1370,1225,1132,1116
"인천광역시","5∼9년",1401,1437,1470,1416,1278,1165,1178,1099,1213
"인천광역시","10∼14년",959,931,913,986,1092,964,972,864,962
"인천광역시","15∼19년",1011,954,914,949,874,816,784,744,738
"인천광역시","20년이상",2230,2207,2088,2154,2460,2616,2581,2206,2214
"인천광역시","20∼24년",924,858,789,784,835,832,764,659,666
"인천광역시","25∼29년",605,641,606,639,658,650,651,525,545
"인천광역시","30년이상",701,708,693,731,967,1134,1166,1022,1003
